1617803584, penemuee, snapped, 0
1617803675, seobearz, snapped, 0
1617803992, projectjan, caught tegsneakers, 1
1617804303, styx722, caught neodwell, 1
1617804425, seobearz, snapped, 0
1617804492, venti_chan, snapped, 0
1617805149, projectjan, caught tembad, 1
1617805575, styx722, caught adrestiae, 1
1617806053, seobearz, caught hi55iin, 1
1617806305, zyzstem, snapped, 0
1617806662, styx722, caught highground0b1, 1
1617806722, homelessclay, snapped, 0
1617806769, astolfoisnotatrap, snapped, 0
1617807257, nedjyy, caught frans____, 1
1617807278, tealancers, snapped, 0
1617807477, astolfoisnotatrap, snapped, 0
1617807613, skyyse_, snapped, 0
1617807638, astolfoisnotatrap, snapped, 0
1617807739, mistermonsieur, snapped, 0
1617808286, projectjan, caught iirew, 1
1617808308, cousinnicky69, snapped, 0
1617808351, unabletoeven, snapped, 0
1617808646, nutzzz96, snapped, 0
1617808673, styx722, snapped, 0
1617808781, clocked_7, snapped, 0
1617808886, bingbongaming, snapped, 0
1617808951, skyyse_, snapped, 0
1617809132, styx722, snapped, 0
1617810231, styx722, caught romasama1, 1
1617811173, projectjan, caught stoiccapricorn, 1
1617811502, styx722, caught cloudallen, 1
1617811526, clocked_7, snapped, 0
1617811911, astolfoisnotatrap, caught carreebear, 1
1617812635, windcaller_, caught bamsemums313, 1
1617813266, rojakpanda, snapped, 0
1617813367, zyzstem, snapped, 0
1617813392, skyyse_, snapped, 0
1617813723, cetkaman, caught alfred_b, 1
1617814598, zyzstem, caught whyyoudodisx, 1
1617814914, inoe182, caught dougdreamer, 1
1617815242, cetkaman, caught shogunfs, 1
1617815615, inoe182, caught skyyse_, 9
1617815890, mrgneiss, snapped, 0
1617816443, yelnax, caught johnnyskripka, 1
1617816781, sonytoo, caught abyss_sz, 1
1617817076, inoe182, snapped, 0
1617817389, mrgneiss, caught mrjerekat, 1
1617817734, cetkaman, caught wigoor, 1
1617817926, zyzstem, snapped, 0
1617818115, sonytoo, snapped, 0
1617818295, zyzstem, snapped, 0
1617818597, chinasoupnumbawan, caught skylerianpride, 1
1617818918, projectjan, caught voliddd17, 1
1617819455, inoe182, caught sleepy1501, 1
1617819827, sonytoo, caught felwood_, 1
1617820147, inoe182, caught greenonionofdoom, 1
1617820348, guardian_wizard, snapped, 0
1617820681, sonytoo, caught frailankles, 1
1617820984, chinasoupnumbawan, caught jobandhindsa, 1
1617821326, sonytoo, caught pridekappa, 1
1617821629, chinasoupnumbawan, caught mrgneiss, 3
1617821935, cetkaman, caught nardy3_, 1
1617822240, inoe182, caught xozne, 1
1617822542, chinasoupnumbawan, caught 25dunno, 1
1617823571, mrgneiss, caught blottedmike, 1
1617823887, chinasoupnumbawan, caught satoamina, 1
1617824287, inoe182, caught yayyayuk, 1
1617824589, chinasoupnumbawan, caught 2badz, 1
1617824944, inoe182, caught shuraba_, 1
1617825247, chinasoupnumbawan, caught rusheart_rf4, 1
1617825427, neul14, snapped, 0
1617825924, inoe182, caught mahdy_salad, 3
1617826600, chinasoupnumbawan, caught ohanagirl, 1
1617827274, cetkaman, caught blitz9291, 1
1617827376, zyzstem, snapped, 0
1617827701, mrgneiss, caught lolkqwepqwe, 1
1617827753, katastropic, snapped, 0
1617828141, chinasoupnumbawan, caught cxdbfg, 1
1617828252, zyzstem, snapped, 0
1617828672, cetkaman, caught quiddmitch, 1
1617829070, chinasoupnumbawan, caught blakkheimm, 1
1617829376, cetkaman, caught stns347, 1
1617829564, zyzstem, snapped, 0
1617829868, chinasoupnumbawan, caught ttororong_, 1
1617830240, mrgneiss, caught kahoifish, 1
1617830279, zyzstem, snapped, 0
1617830493, guardian_wizard, snapped, 0
1617830852, cetkaman, caught saybian1221, 1
1617830992, zyzstem, snapped, 0
1617831271, yelnax, snapped, 0
1617831573, chinasoupnumbawan, caught oskerd, 1
1617831683, zyzstem, snapped, 0
1617832016, cetkaman, caught hackdisturret, 1
1617832378, mrgneiss, caught giannamalakas, 1
1617832786, guardian_wizard, caught thorns1, 1
1617833042, zyzstem, snapped, 0
1617833254, mrgneiss, snapped, 0
1617835241, mrgneiss, caught masked_man11, 1
1617836529, mahdy_salad, caught bahoidaniel69, 1
1617836987, melpomenecarthasis, caught noctynoc, 1
1617837686, mrgneiss, caught hatduck_, 1
1617838096, yelnax, caught krappakong, 1
1617841447, zyzstem, caught jointeffortt, 1
1617841654, durminon, snapped, 0
1617841923, yelnax, snapped, 0
1617842221, junnnnislife, snapped, 0
1617842758, skwishi, caught linlin9090, 1
1617843072, projectjan, caught phksx, 1
1617843327, melpomenecarthasis, snapped, 0
1617843518, junnnnislife, snapped, 0
1617843626, junnnnislife, snapped, 0
1617843728, junnnnislife, snapped, 0
1617843762, junnnnislife, snapped, 0
1617844173, styx722, caught tb1991, 1
1617844204, junnnnislife, snapped, 0
1617844267, junnnnislife, snapped, 0
1617844293, junnnnislife, snapped, 0
1617844313, deeeeckslayer, snapped, 0
1617844991, junnnnislife, caught andreen, 1
1617845730, mistermonsieur, caught rorspank, 1
1617845960, junnnnislife, snapped, 0
1617846229, mahdy_salad, snapped, 0
1617846256, junnnnislife, snapped, 0
1617846605, projectjan, caught skwishi, 2
1617846686, junnnnislife, snapped, 0
1617846875, junnnnislife, snapped, 0
1617847177, junnnnislife, caught unknownkill3r, 1
1617847425, styx722, snapped, 0
1617847735, styx722, caught projectjan, 136
1617847811, skyyse_, snapped, 0
1617848112, mahdy_salad, snapped, 0
1617848135, junnnnislife, snapped, 0
1617848418, mistermonsieur, snapped, 0
1617848750, mistermonsieur, caught gimdah, 1
1617849061, projectjan, caught stns347, 1
1617849285, junnnnislife, snapped, 0
